Date,Open,High,Low,Close,Volume
2025-12-04 14:30:00,278.85999,279.97,278.82001,279.97,698641
2025-12-04 14:45:00,279.97,280.35001,279.89001,280.34,654285
2025-12-04 15:00:00,280.32999,280.73001,280.16,280.34009,786616
2025-12-04 15:15:00,280.34,280.54999,280.089996,280.125,668454
2025-12-04 15:30:00,280.12,280.23999,279.89999,280.13,730365
2025-12-04 15:45:00,280.14001,280.69,279.57999,280.64999,2435143
2025-12-05 09:30:00,280.54001,281.049988,279.26999,279.5,2041658
2025-12-05 09:45:00,279.5,280.26001,279.29999,280.17999,782182
2025-12-05 10:00:00,280.20999,280.70001,279.67999,280.6701,794823
2025-12-05 10:15:00,280.69,281.14001,280.31,280.45511,774482
2025-12-05 10:30:00,280.45999,280.98001,280.20999,280.32501,731532
2025-12-05 10:45:00,280.33279,280.51001,279.81,280.075012,523728
2025-12-05 11:00:00,280.079987,280.32001,279.78,279.85001,457038
2025-12-05 11:15:00,279.85001,279.94,279.29001,279.29501,1866949
2025-12-05 11:30:00,279.29999,279.32999,278.79001,279.049988,649567
2025-12-05 11:45:00,279.029999,279.17999,278.76001,278.78,566820
2025-12-05 12:00:00,278.76999,278.85001,278.12,278.12,652443
2025-12-05 12:15:00,278.12,278.54001,278.11499,278.315,456838
2025-12-05 12:30:00,278.315,279.079803,278.049988,279.033508,525389
2025-12-05 12:45:00,279.029999,279.45001,278.80411,279.39001,435265
2025-12-05 13:00:00,279.38,279.45001,279.019012,279.14001,337973
2025-12-05 13:15:00,279.14001,279.4801,278.89001,279.44,394678
2025-12-05 13:30:00,279.48001,279.57001,279.070007,279.17969,396529
2025-12-05 13:45:00,279.17999,279.28,278.58499,278.70001,358138
2025-12-05 14:00:00,278.69,279.44589,278.64999,279.42001,372649
2025-12-05 14:15:00,279.42999,279.42999,279.10999,279.2338,426516
2025-12-05 14:30:00,279.23001,279.29999,278.73999,278.87451,463136
2025-12-05 14:45:00,278.88,279.019989,278.72839,278.88321,505325
2025-12-05 15:00:00,278.89001,278.94501,278.59509,278.8634,486479
2025-12-05 15:15:00,278.85999,278.90991,278.54001,278.80139,482298
2025-12-05 15:30:00,278.79999,279.024994,278.79001,278.92999,581249
2025-12-05 15:45:00,278.92001,278.95999,278.19,278.79001,2138221
2025-12-08 09:30:00,278.16849,279.66931,277.45001,277.89001,3594064
2025-12-08 09:45:00,277.88501,278.37,277.5,277.953,820642
2025-12-08 10:00:00,277.95499,278.32001,277.54999,278.049988,937707
2025-12-08 10:15:00,278.019989,278.5199,277.48999,277.56,933513
2025-12-08 10:30:00,277.54999,277.85999,277.13,277.37,818316
2025-12-08 10:45:00,277.39001,277.53,277.049988,277.33499,714799
2025-12-08 11:00:00,277.33499,277.88,276.91861,277.26001,1054336
2025-12-08 11:15:00,277.25,277.57999,276.70499,277.45999,738875
2025-12-08 11:30:00,277.47,277.51001,277.000091553,277.4968,439338
2025-12-08 11:45:00,277.48999,277.70001,277.38,277.48499,493106
2025-12-08 12:00:00,277.48999,277.54001,277.049988,277.19,470762
2025-12-08 12:15:00,277.22,277.819,277.19,277.23001,493275
2025-12-08 12:30:00,277.20999,277.39999,277.049988,277.14011,501282
2025-12-08 12:45:00,277.16,277.54001,276.87,277.32999,530176
2025-12-08 13:00:00,277.32001,277.84991,277.089996,277.31,633820
2025-12-08 13:15:00,277.32001,277.48001,276.92001,276.97,333746
2025-12-08 13:30:00,276.94949,276.94949,276.39999,276.5,468381
2025-12-08 13:45:00,276.48999,276.57999,276.20001,276.37,447013
2025-12-08 14:00:00,276.35999,276.73999,276.20999,276.34,499973
2025-12-08 14:15:00,276.34,276.5784,276.26999,276.35999,409741
2025-12-08 14:30:00,276.37,276.5871,276.14999,276.35999,477683
2025-12-08 14:45:00,276.37,276.53,276.20169,276.31,418280
2025-12-08 15:00:00,276.32001,276.70001,276.29999,276.67999,1463074
2025-12-08 15:15:00,276.67999,276.97,276.62,276.92499,6787018
2025-12-08 15:30:00,276.92999,277.23001,276.66,277.22501,617887
2025-12-08 15:45:00,277.23001,277.98499,277.14001,277.95999,1996013
2025-12-09 09:30:00,277.89001,280.029999,277.89001,279.040009,2662902
2025-12-09 09:45:00,279.040009,279.67001,278.41,278.565,1014150
2025-12-09 10:00:00,278.54999,278.54999,277.57999,277.57999,894756
2025-12-09 10:15:00,277.57999,278.019806,277.35001,277.70001,769696
2025-12-09 10:30:00,277.70001,277.92999,277.22,277.89099,692623
2025-12-09 10:45:00,277.89099,278.0,277.48001,277.82501,498943
2025-12-09 11:00:00,277.82501,277.98999,277.029999,277.5101,671916
2025-12-09 11:15:00,277.5101,277.70999,277.23001,277.41,426669
2025-12-09 11:30:00,277.41,277.79001,277.20001,277.38339,415764
2025-12-09 11:45:00,277.38339,278.019989,277.35001,277.98499,400334
2025-12-09 12:00:00,277.98499,278.12,277.69,277.858,430214
2025-12-09 12:15:00,277.858,278.059998,277.38,277.875,450617
2025-12-09 12:30:00,277.875,278.60001,277.79999,278.13,572549
2025-12-09 12:45:00,278.13,278.37,277.84009,278.32001,305952
2025-12-09 13:00:00,278.32001,278.57001,278.17001,278.51001,462648
2025-12-09 13:15:00,278.51001,278.73999,278.25,278.38501,647306
2025-12-09 13:30:00,278.38501,278.51001,278.22,278.31,257579
2025-12-09 13:45:00,278.30881,278.69901,278.12,278.66,318385
