Date,Open,High,Low,Close,Volume
2026-08-28 18:30:00,1.16448,1.16464,1.16445,1.16461,0.0
2026-08-28 18:35:00,1.16452,1.16469,1.16443,1.1645,0.0
2026-08-28 18:40:00,1.16452,1.1646,1.16442,1.16444,0.0
2026-08-28 18:45:00,1.16449,1.16452,1.16423,1.16426,0.0
2026-08-28 18:50:00,1.1643,1.16447,1.16429,1.16446,0.0
2026-08-28 18:55:00,1.16441,1.16448,1.16427,1.16446,0.0
2026-08-28 19:00:00,1.16442,1.16456,1.16421,1.16425,0.0
2026-08-28 19:05:00,1.16434,1.16434,1.16419,1.16428,0.0
2026-08-28 19:10:00,1.16426,1.16438,1.16423,1.16436,0.0
2026-08-28 19:15:00,1.16433,1.1644,1.16414,1.16435,0.0
2026-08-28 19:20:00,1.16434,1.16441,1.1642,1.16435,0.0
2026-08-28 19:25:00,1.16436,1.1644,1.16419,1.16423,0.0
2026-08-28 19:30:00,1.16429,1.16441,1.16424,1.16439,0.0
2026-08-28 19:35:00,1.16436,1.16443,1.16417,1.16425,0.0
2026-08-28 19:40:00,1.16424,1.16425,1.16408,1.16421,0.0
2026-08-28 19:45:00,1.16417,1.16431,1.16411,1.16429,0.0
2026-08-28 19:50:00,1.16427,1.16431,1.16402,1.16412,0.0
2026-08-28 19:55:00,1.1641,1.16416,1.16395,1.16397,0.0
2026-08-28 20:00:00,1.16402,1.16409,1.16394,1.16397,0.0
2026-08-28 20:05:00,1.16403,1.16421,1.16398,1.16418,0.0
2026-08-28 20:10:00,1.16417,1.16423,1.16409,1.16422,0.0
2026-08-28 20:15:00,1.16419,1.16429,1.16401,1.16427,0.0
2026-08-28 20:20:00,1.16421,1.16427,1.16402,1.16423,0.0
2026-08-28 20:25:00,1.16417,1.16437,1.16417,1.16435,0.0
2026-08-28 20:30:00,1.16432,1.1646,1.1643,1.16459,0.0
2026-08-28 20:35:00,1.16456,1.16471,1.16455,1.16469,0.0
2026-08-28 20:40:00,1.16467,1.16469,1.16452,1.16454,0.0
2026-08-28 20:45:00,1.16461,1.16472,1.1645,1.16462,0.0
2026-08-28 20:50:00,1.16461,1.16465,1.16452,1.16463,0.0
2026-08-28 20:55:00,1.1646,1.16495,1.16451,1.16493,0.0
2026-08-28 21:00:00,1.16489,1.16494,1.16481,1.16493,0.0
2026-08-28 21:05:00,1.16491,1.16491,1.16474,1.16483,0.0
2026-08-28 21:10:00,1.16478,1.16486,1.16465,1.16474,0.0
2026-08-28 21:15:00,1.16472,1.16476,1.16462,1.16471,0.0
2026-08-28 21:20:00,1.16471,1.16476,1.16452,1.16474,0.0
2026-08-28 21:25:00,1.1647,1.16489,1.16455,1.16458,0.0
2026-08-28 21:30:00,1.16461,1.16471,1.16455,1.16458,0.0
2026-08-28 21:35:00,1.1646,1.16482,1.16456,1.16478,0.0
2026-08-28 21:40:00,1.16472,1.16482,1.16462,1.1648,0.0
2026-08-28 21:45:00,1.16476,1.16486,1.1645,1.16455,0.0
2026-08-28 21:50:00,1.16464,1.16464,1.16447,1.16457,0.0
2026-08-28 21:55:00,1.16455,1.16463,1.16444,1.16448,0.0
2026-08-28 22:00:00,1.16456,1.16461,1.16447,1.1645,0.0
2026-08-28 22:05:00,1.16453,1.16461,1.16439,1.16443,0.0
2026-08-28 22:10:00,1.16444,1.16447,1.16425,1.16445,0.0
2026-08-28 22:15:00,1.16437,1.16445,1.1643,1.16433,0.0
2026-08-28 22:20:00,1.16437,1.16438,1.16427,1.16429,0.0
2026-08-28 22:25:00,1.16433,1.16436,1.16423,1.16432,0.0
2026-08-28 22:30:00,1.1643,1.1643,1.16408,1.16418,0.0
2026-08-28 22:35:00,1.16413,1.16419,1.16404,1.16409,0.0
2026-08-28 22:40:00,1.1641,1.16415,1.16395,1.16397,0.0
2026-08-28 22:45:00,1.16401,1.16434,1.16401,1.16427,0.0
2026-08-28 22:50:00,1.16424,1.16428,1.16416,1.16423,0.0
2026-08-28 22:55:00,1.16421,1.16499,1.1641,1.16497,0.0
2026-08-28 23:00:00,1.16494,1.16503,1.16482,1.16485,0.0
2026-08-28 23:05:00,1.16491,1.16496,1.16452,1.16464,0.0
2026-08-28 23:10:00,1.1646,1.16478,1.16451,1.16454,0.0
2026-08-28 23:15:00,1.16457,1.16457,1.16446,1.16455,0.0
2026-08-28 23:20:00,1.16451,1.16455,1.16429,1.16431,0.0
2026-08-28 23:25:00,1.16433,1.16436,1.16417,1.16432,0.0
2026-08-28 23:30:00,1.16427,1.16444,1.16427,1.16442,0.0
2026-08-28 23:35:00,1.16441,1.16441,1.16412,1.16432,0.0
2026-08-28 23:40:00,1.16426,1.16435,1.16405,1.1642,0.0
2026-08-28 23:45:00,1.16419,1.16436,1.16413,1.16434,0.0
2026-08-28 23:50:00,1.16429,1.16429,1.16402,1.16414,0.0
2026-08-28 23:55:00,1.16412,1.16468,1.16412,1.16463,0.0
2026-08-29 00:00:00,1.16455,1.16493,1.16193,1.1623,0.0
2026-08-29 00:05:00,1.16292,1.16292,1.16091,1.16199,0.0
2026-08-29 00:10:00,1.16165,1.16222,1.16121,1.16132,0.0
2026-08-29 00:15:00,1.16153,1.16153,1.16064,1.16102,0.0
2026-08-29 00:20:00,1.16122,1.16122,1.16055,1.16061,0.0
2026-08-29 00:25:00,1.16071,1.16071,1.15951,1.15958,0.0
2026-08-29 00:30:00,1.15967,1.16092,1.1594,1.16082,0.0
2026-08-29 00:35:00,1.1606,1.16108,1.1606,1.16082,0.0
2026-08-29 00:40:00,1.16085,1.16093,1.1605,1.16056,0.0
2026-08-29 00:45:00,1.16061,1.16086,1.16029,1.16037,0.0
2026-08-29 00:50:00,1.16035,1.16143,1.16035,1.16131,0.0
2026-08-29 00:55:00,1.16109,1.16226,1.16109,1.16223,0.0
2026-08-29 01:00:00,1.16214,1.16218,1.16126,1.16132,0.0
2026-08-29 01:05:00,1.16141,1.16147,1.16059,1.16122,0.0
2026-08-29 01:10:00,1.16106,1.16128,1.16069,1.16074,0.0
2026-08-29 01:15:00,1.16082,1.16089,1.16066,1.16083,0.0
2026-08-29 01:20:00,1.16082,1.16082,1.1605,1.16058,0.0
2026-08-29 01:25:00,1.16055,1.16088,1.16042,1.16045,0.0
2026-08-29 01:30:00,1.16048,1.16056,1.16024,1.16032,0.0
2026-08-29 01:35:00,1.16033,1.16043,1.16011,1.16014,0.0
2026-08-29 01:40:00,1.16017,1.16032,1.15966,1.15995,0.0
2026-08-29 01:45:00,1.15988,1.16019,1.15974,1.15983,0.0
2026-08-29 01:50:00,1.15999,1.16028,1.15975,1.15998,0.0
2026-08-29 01:55:00,1.16011,1.16011,1.15981,1.15987,0.0
2026-08-29 02:00:00,1.15985,1.15989,1.15954,1.1596,0.0
2026-08-29 02:05:00,1.1597,1.1597,1.15923,1.15928,0.0
